phase_ps,corrupted,received,sent
88500,17,49,32
88750,17,49,32
89000,17,49,32
89250,18,50,32
89500,18,50,32
89750,18,50,32
90000,18,50,32
90250,17,49,32
90500,17,49,32
90750,17,49,32
91000,17,49,32
91250,18,50,32
91500,18,50,32
91750,18,50,32
92000,18,50,32
92250,17,49,32
92500,17,49,32
92750,17,49,32
93000,17,49,32
93250,18,50,32
93500,18,50,32
93750,18,50,32
94000,18,50,32
94250,17,49,32
94500,17,49,32
94750,17,49,32
95000,17,49,32
95250,17,49,32
95500,17,49,32
95750,17,49,32
96000,17,49,32
96250,17,49,32
96500,17,49,32
96750,17,49,32
97000,17,49,32
97250,17,49,32
97500,17,49,32
97750,17,49,32
98000,17,49,32
98250,17,49,32
98500,17,49,32
98750,17,49,32
99000,17,49,32
99250,18,50,32
99500,18,50,32
99750,18,50,32
100000,18,50,32
100250,17,49,32
100500,17,49,32
100750,17,49,32
101000,17,49,32
101250,18,50,32
101500,18,50,32
101750,18,50,32
102000,18,50,32
102250,17,49,32
102500,17,49,32
102750,17,49,32
103000,17,49,32
103250,18,50,32
103500,18,50,32
103750,18,50,32
104000,18,50,32
104250,17,49,32
104500,17,49,32
104750,17,49,32
105000,17,49,32
105250,17,49,32
105500,17,49,32
105750,17,49,32
106000,17,49,32
106250,17,49,32
106500,17,49,32
106750,17,49,32
107000,17,49,32
107250,17,49,32
107500,17,49,32
107750,17,49,32
108000,17,49,32
108250,17,49,32
108500,17,49,32
108750,17,49,32
109000,17,49,32
109250,18,50,32
109500,18,50,32
109750,18,50,32
110000,18,50,32
110250,17,49,32
110500,17,49,32
110750,17,49,32
111000,17,49,32
111250,18,50,32
111500,18,50,32
111750,18,50,32
112000,18,50,32
112250,17,49,32
112500,17,49,32
112750,17,49,32
113000,17,49,32
113250,18,50,32
113500,18,50,32
113750,18,50,32
114000,18,50,32
114250,17,49,32
114500,17,49,32
114750,17,49,32
115000,17,49,32
115250,17,49,32
115500,17,49,32
115750,17,49,32
116000,17,49,32
116250,17,49,32
